emp_no,first_name,birth_date,from_date,title
106710,Babette,1965-01-31,1986-11-22,9999-01-01
107486,Siamak,1965-01-23,1987-02-11,9999-01-01
107737,Fabrizio,1965-01-23,1999-07-31,9999-01-01
107792,Shahab,1965-01-13,1992-03-18,9999-01-01
107828,Ramya,1965-01-26,1989-02-03,9999-01-01
108091,Hisao,1965-01-09,1985-11-14,9999-01-01
108198,Randi,1965-01-24,1992-10-20,9999-01-01
108316,Shai,1965-01-02,1992-05-21,9999-01-01
108988,Oksana,1965-01-19,1989-07-20,9999-01-01
109062,Jamaludin,1965-02-01,1992-06-19,9999-01-01
109211,Gor,1965-01-11,2002-06-18,9999-01-01
109252,Moty,1965-01-15,1991-04-28,9999-01-01
109278,Bangqing,1965-01-21,1988-03-22,9999-01-01
109552,Menkae,1965-01-31,1997-05-21,9999-01-01
109598,Stamatina,1965-02-01,1988-07-05,9999-01-01
109620,Mani,1965-01-02,1989-06-21,9999-01-01
109703,Arco,1965-01-17,1999-08-16,9999-01-01
109741,Hatem,1965-01-11,1991-11-13,9999-01-01
109953,Godehard,1965-01-26,1988-04-10,9999-01-01
200267,Chuanti,1965-01-08,1994-09-21,9999-01-01
200312,Akemi,1965-01-27,2001-11-13,9999-01-01
200363,Kirk,1965-01-10,1987-06-30,9999-01-01
200735,Dinah,1965-01-09,1992-09-21,9999-01-01
200789,Susumu,1965-01-14,1991-12-15,9999-01-01
201229,Alejandra,1965-01-03,1994-07-30,9999-01-01
201708,Anneli,1965-01-15,1992-09-08,9999-01-01
201709,Fan,1965-01-01,1988-02-25,9999-01-01
201739,Genta,1965-01-16,1998-07-21,9999-01-01
201801,Waiman,1965-01-12,1988-10-30,9999-01-01
201915,Sudharsan,1965-01-02,1992-03-30,9999-01-01
202291,Ortrun,1965-01-16,1997-07-18,9999-01-01
202403,Gully,1965-01-09,1999-07-07,9999-01-01
202414,Zvonko,1965-01-13,1992-01-07,9999-01-01
202552,Morris,1965-01-05,1991-11-22,9999-01-01
202826,Kerhong,1965-01-19,1986-11-14,9999-01-01
202882,Isaac,1965-01-25,1995-09-28,9999-01-01
202950,Giordano,1965-01-17,1987-03-26,9999-01-01
203474,Hugh,1965-01-03,1991-07-06,9999-01-01
203495,Zongyan,1965-01-02,1997-05-31,9999-01-01
203599,Ewing,1965-01-21,2000-02-01,9999-01-01
203720,Sasan,1965-01-30,1996-08-21,9999-01-01
203946,Yefim,1965-01-23,1993-03-30,9999-01-01
204117,Jessie,1965-01-10,2000-12-13,9999-01-01
204133,Susuma,1965-01-22,1996-02-25,9999-01-01
204246,Arve,1965-01-09,1985-04-01,9999-01-01
204425,Gretta,1965-01-03,1990-10-08,9999-01-01
204470,Hein,1965-01-22,1998-05-02,9999-01-01
204471,Franziska,1965-01-27,1986-02-17,9999-01-01
204764,Susanne,1965-01-22,1990-11-02,9999-01-01
205018,Yahiko,1965-01-26,1998-08-05,9999-01-01
205085,Moni,1965-01-23,1991-09-26,9999-01-01
205174,Leszek,1965-01-05,1998-12-10,9999-01-01
205500,Mary,1965-01-04,1989-01-13,9999-01-01
205627,Stabislas,1965-01-21,1996-07-16,9999-01-01
205660,Kien,1965-01-27,2000-10-24,9999-01-01
205699,Youjian,1965-01-31,1994-12-07,9999-01-01
205789,Limsoon,1965-01-31,1999-08-10,9999-01-01
205863,Aiichiro,1965-01-06,1990-10-04,9999-01-01
206748,Yucai,1965-01-07,1999-10-06,9999-01-01
206836,Guadalupe,1965-01-12,1993-03-22,9999-01-01
206966,Tzu,1965-01-21,1987-11-17,9999-01-01
207021,Jacqueline,1965-01-20,1997-12-06,9999-01-01
207068,Zhiguo,1965-01-13,1994-09-07,9999-01-01
207204,Kellie,1965-01-25,1991-01-17,9999-01-01
207401,Shuji,1965-01-04,1987-08-10,9999-01-01
207551,Baziley,1965-01-15,1995-02-18,9999-01-01
207779,Chinya,1965-01-16,1992-05-31,9999-01-01
207980,Remko,1965-01-07,1990-11-22,9999-01-01
208147,Manu,1965-01-09,1988-12-06,9999-01-01
208330,Shen,1965-01-11,1989-07-03,9999-01-01
208639,Larisa,1965-01-27,1996-10-30,9999-01-01
208653,Phillip,1965-01-23,1989-03-03,9999-01-01
208784,Pranjal,1965-01-30,1985-03-21,9999-01-01
209101,Xinyu,1965-01-05,1997-10-26,9999-01-01
209443,Krassimir,1965-01-19,1998-01-26,9999-01-01
209565,Dante,1965-01-09,1989-05-28,9999-01-01
209712,Nimmagadda,1965-01-17,1987-10-30,9999-01-01
210017,Shalesh,1965-01-28,1990-09-29,9999-01-01
210292,Lihong,1965-01-18,1996-04-28,9999-01-01
210449,Gino,1965-01-19,1997-06-22,9999-01-01
210752,Saniya,1965-01-25,1986-12-10,9999-01-01
210786,Werner,1965-01-31,1998-06-05,9999-01-01
211858,Domenico,1965-01-08,1985-03-24,9999-01-01
211879,Gao,1965-01-12,1994-11-24,9999-01-01
211967,Anwar,1965-01-07,1989-01-22,9999-01-01
212093,Leni,1965-01-11,1993-11-19,9999-01-01
212154,Sailaja,1965-01-17,1991-03-04,9999-01-01
212361,Claudi,1965-01-16,1996-01-07,9999-01-01
213016,Yongmao,1965-01-22,1993-07-26,9999-01-01
213140,Tru,1965-01-10,1997-03-31,9999-01-01
213384,Pranas,1965-01-04,1985-09-26,9999-01-01
213447,Armond,1965-02-01,1989-09-14,9999-01-01
214215,Xiaoqiang,1965-01-25,1993-05-28,9999-01-01
214391,Rayond,1965-01-15,1993-09-11,9999-01-01
214427,Peer,1965-01-29,1996-11-17,9999-01-01
214539,Ingmar,1965-01-27,1995-04-25,9999-01-01
214634,Shirish,1965-01-12,1989-10-24,9999-01-01
214789,Arfst,1965-01-28,1989-02-06,9999-01-01
214866,Gopalakrishnan,1965-02-01,1997-07-05,9999-01-01
214995,Dinkar,1965-01-12,1994-05-04,9999-01-01
215419,Flemming,1965-01-16,1995-01-23,9999-01-01
215629,Munehiro,1965-01-15,1987-05-18,9999-01-01
215746,Sven,1965-01-08,1999-07-08,9999-01-01
215843,Pramod,1965-01-30,1987-03-31,9999-01-01
216054,Sahrah,1965-01-24,1986-07-31,9999-01-01
216342,Aiichiro,1965-01-22,1995-06-10,9999-01-01
216375,Byong,1965-01-16,1985-03-12,9999-01-01
216502,Xiaocheng,1965-01-26,1997-12-15,9999-01-01
216573,Ashish,1965-01-29,1989-06-16,9999-01-01
216921,Lena,1965-01-22,1990-12-25,9999-01-01
217026,Otmar,1965-01-11,1993-08-16,9999-01-01
217080,Masami,1965-01-12,2000-01-21,9999-01-01
217272,Yuchang,1965-01-21,1986-08-01,9999-01-01
217286,Yannik,1965-01-05,1992-09-22,9999-01-01
217320,Abdelwaheb,1965-01-10,1993-09-10,9999-01-01
217363,Horward,1965-01-14,1996-04-11,9999-01-01
217387,Jianhao,1965-01-21,1987-10-22,9999-01-01
217551,Panayotis,1965-01-02,1989-06-06,9999-01-01
217800,Shay,1965-02-01,1998-08-06,9999-01-01
218022,Mokhtar,1965-01-26,1992-02-02,9999-01-01
218100,Jiong,1965-01-24,1990-01-02,9999-01-01
218831,Unal,1965-01-16,1996-03-13,9999-01-01
219035,Kristine,1965-01-18,1988-05-13,9999-01-01
219047,Aemilian,1965-01-30,1987-05-27,9999-01-01
219052,Marsal,1965-01-06,1995-08-02,9999-01-01
219417,Subhrajyoti,1965-01-29,1996-07-25,9999-01-01
219497,Moie,1965-01-22,1991-10-11,9999-01-01
219967,Susanna,1965-01-16,1998-03-16,9999-01-01
220029,Demos,1965-01-17,1985-11-04,9999-01-01
220131,Reinhard,1965-01-09,1994-06-08,9999-01-01
220418,Poorav,1965-01-23,1997-08-16,9999-01-01
220528,Sibyl,1965-01-06,1998-02-23,9999-01-01
220582,Poornachandra,1965-01-08,1996-02-13,9999-01-01
220611,Yuping,1965-01-23,1995-01-31,9999-01-01
220625,Shigenori,1965-01-25,1992-12-24,9999-01-01
220699,Nahid,1965-01-07,1995-08-18,9999-01-01
220799,Perla,1965-01-17,1998-10-13,9999-01-01
221126,Tesuya,1965-01-23,1988-11-29,9999-01-01
221367,Saddek,1965-01-13,1990-11-06,9999-01-01
221369,Abdulah,1965-01-28,1996-08-28,9999-01-01
221435,Djenana,1965-01-06,1994-02-06,9999-01-01
221973,Sangeeta,1965-01-17,1990-06-06,9999-01-01
222206,Stein,1965-01-21,1988-01-30,9999-01-01
222311,Miyeon,1965-01-20,1992-12-05,9999-01-01
222319,Matt,1965-01-20,1994-11-09,9999-01-01
222354,Valdiodio,1965-01-15,1993-08-07,9999-01-01
222616,Badri,1965-02-01,1998-01-19,9999-01-01
222770,Kazuhiko,1965-01-22,1995-08-01,9999-01-01
222878,Annemarie,1965-01-10,1996-12-01,9999-01-01
222926,Limsoon,1965-01-10,1997-12-31,9999-01-01
222952,Gopalakrishnan,1965-01-28,1991-04-30,9999-01-01
222998,Leaf,1965-01-07,1992-10-02,9999-01-01
223593,Hidefumi,1965-01-20,1998-03-04,9999-01-01
223595,Chiranjit,1965-02-01,1999-09-05,9999-01-01
224135,Annemarie,1965-01-02,1998-06-23,9999-01-01
224335,Perry,1965-01-29,1985-07-22,9999-01-01
224390,True,1965-01-24,1996-05-17,9999-01-01
224934,George,1965-01-05,1988-01-02,9999-01-01
225438,Remmert,1965-01-14,1992-04-28,9999-01-01
225601,Masasuke,1965-01-13,1994-06-25,9999-01-01
225788,Ipke,1965-01-08,1995-12-18,9999-01-01
225867,Ramalingam,1965-01-26,1999-09-03,9999-01-01
225964,Mooi,1965-01-19,1989-06-07,9999-01-01
226216,Giordano,1965-01-28,1993-08-14,9999-01-01
226227,Herbert,1965-01-07,1986-09-06,9999-01-01
227354,Gio,1965-01-12,1986-11-11,9999-01-01
227476,Macha,1965-01-11,1988-05-11,9999-01-01
227681,Mikhail,1965-01-30,1998-11-30,9999-01-01
227899,Garnik,1965-01-23,1998-09-15,9999-01-01
227901,Francesca,1965-01-26,1996-06-08,9999-01-01
228098,IEEE,1965-01-18,1998-02-17,9999-01-01
228248,Yuriy,1965-01-09,1988-09-08,9999-01-01
228554,Bilhanan,1965-01-03,1990-12-23,9999-01-01
228766,Nahla,1965-01-11,1993-02-12,9999-01-01
229098,Berry,1965-01-08,1995-08-16,9999-01-01
229220,Fabrizio,1965-01-21,1987-02-09,9999-01-01
229248,Harjit,1965-01-27,1995-10-19,9999-01-01
229386,Pohua,1965-01-03,1994-11-04,9999-01-01
229391,Paloma,1965-01-15,1991-06-11,9999-01-01
229404,Gilbert,1965-01-11,1996-04-05,9999-01-01
229547,Moni,1965-01-03,1986-07-04,9999-01-01
229727,Ewing,1965-01-23,1999-09-28,9999-01-01
229981,Jamaludin,1965-01-19,1992-02-06,9999-01-01
230002,Tadahiro,1965-01-07,1991-10-02,9999-01-01
230126,Bezalel,1965-01-31,1988-07-02,9999-01-01
230287,Renny,1965-01-14,1997-09-28,9999-01-01
230354,Yinghua,1965-01-31,1991-08-09,9999-01-01
230498,Kolar,1965-01-15,1990-04-25,9999-01-01
230579,Shahar,1965-01-17,1994-03-19,9999-01-01
230689,Dietrich,1965-01-14,1986-05-24,9999-01-01
230865,Takushi,1965-01-02,1999-06-03,9999-01-01
231069,Trygve,1965-01-22,1995-11-09,9999-01-01
231459,Nectarios,1965-01-28,1999-11-18,9999-01-01
231671,Chandrasekaran,1965-01-07,1995-04-14,9999-01-01
231798,Goetz,1965-01-28,1988-12-25,9999-01-01
232178,Etsuo,1965-01-29,1989-12-13,9999-01-01
232209,Nitsan,1965-01-11,1988-08-01,9999-01-01
232697,Barry,1965-01-23,1990-09-07,9999-01-01
232723,Tesuya,1965-01-14,1993-02-13,9999-01-01
233114,Alselm,1965-01-20,1987-12-25,9999-01-01
233394,Khalid,1965-01-06,1995-12-24,9999-01-01
233397,Fay,1965-01-16,1990-07-07,9999-01-01
233426,Etsuo,1965-01-12,1995-03-02,9999-01-01
233690,Cedric,1965-01-17,1994-09-08,9999-01-01
233759,Zissis,1965-01-14,2000-05-27,9999-01-01
233765,Kotesh,1965-01-20,1991-03-25,9999-01-01
233785,Baziley,1965-01-30,1987-07-28,9999-01-01
233818,Kellie,1965-01-01,1985-11-11,9999-01-01
234195,Luerbio,1965-01-07,1991-05-14,9999-01-01
234739,Foong,1965-01-31,1986-06-28,9999-01-01
235017,Irena,1965-01-17,1991-09-07,9999-01-01
235096,Sverrir,1965-01-21,1995-07-30,9999-01-01
235325,Gro,1965-01-06,1992-10-16,9999-01-01
235368,Anneli,1965-01-09,1987-04-12,9999-01-01
235458,Gio,1965-01-05,1992-06-28,9999-01-01
235729,Henk,1965-02-01,1993-01-19,9999-01-01
235780,Sampalli,1965-01-17,1994-04-08,9999-01-01
235793,Jayesh,1965-01-03,1999-01-16,9999-01-01
236315,IEEE,1965-01-31,1996-07-24,9999-01-01
236566,Yechezkel,1965-01-17,1992-12-11,9999-01-01
236591,Insup,1965-01-11,1985-04-08,9999-01-01
236827,Almudena,1965-01-28,1994-02-16,9999-01-01
236883,Huan,1965-01-27,1999-11-19,9999-01-01
236964,Adel,1965-01-17,2000-03-20,9999-01-01
238112,Miomir,1965-01-12,1991-05-25,9999-01-01
238252,Uno,1965-01-09,1996-12-27,9999-01-01
238422,Vishv,1965-01-10,1988-03-08,9999-01-01
238949,Minghong,1965-01-09,1987-10-04,9999-01-01
239067,Tadahiko,1965-01-11,1996-04-02,9999-01-01
239244,Abdulla,1965-01-13,1987-02-20,9999-01-01
239415,Susumu,1965-01-01,1993-04-17,9999-01-01
239426,Vesna,1965-01-08,2002-05-07,9999-01-01
239664,Sugwoo,1965-01-04,1992-08-02,9999-01-01
239706,Arunas,1965-01-15,1997-04-03,9999-01-01
239748,Bilhanan,1965-01-23,1988-06-04,9999-01-01
239803,Oscal,1965-01-30,1992-05-19,9999-01-01
240132,Mizuhito,1965-02-01,1996-08-09,9999-01-01
240236,True,1965-01-24,1986-01-19,9999-01-01
240285,Kolar,1965-01-23,1998-11-14,9999-01-01
240340,Mack,1965-01-14,1985-04-02,9999-01-01
240438,Temple,1965-01-02,1992-09-30,9999-01-01
240870,Francesca,1965-01-06,1992-03-17,9999-01-01
241100,Cedric,1965-01-23,1990-10-06,9999-01-01
241254,Jagoda,1965-01-15,1993-05-11,9999-01-01
241292,Uri,1965-01-29,2001-12-11,9999-01-01
241567,Emran,1965-01-18,1989-05-02,9999-01-01
241667,Atilio,1965-01-28,1985-09-04,9999-01-01
241728,Limsoon,1965-01-30,1999-08-08,9999-01-01
241872,Bluma,1965-01-11,2001-11-14,9999-01-01
242019,Herb,1965-01-09,2001-10-28,9999-01-01
242081,Tomokazu,1965-01-12,1996-11-15,9999-01-01
242104,Richara,1965-01-05,1989-09-05,9999-01-01
242500,Bingning,1965-01-08,1989-06-26,9999-01-01
242800,Kazuyasu,1965-01-11,1996-02-10,9999-01-01
243018,Bowen,1965-01-02,1998-12-27,9999-01-01
243077,Kazunori,1965-02-01,1999-02-25,9999-01-01
243576,Abdulah,1965-01-04,1996-11-10,9999-01-01
243637,Marjo,1965-01-16,1990-06-24,9999-01-01
243898,Arch,1965-01-09,1998-05-10,9999-01-01
244308,Mokhtar,1965-01-10,1991-07-23,9999-01-01
244605,Masoud,1965-01-22,1998-10-10,9999-01-01
244624,Boaz,1965-01-31,1987-03-27,9999-01-01
244711,Rosli,1965-01-25,1991-03-20,9999-01-01
244714,Poorav,1965-01-27,1996-05-06,9999-01-01
244820,Shigenori,1965-01-15,1987-04-13,9999-01-01
244873,Arunachalam,1965-01-04,1986-05-20,9999-01-01
245164,Filipp,1965-01-23,1996-10-24,9999-01-01
245396,Gift,1965-01-31,1995-03-04,9999-01-01
245664,Manohar,1965-01-18,1998-11-17,9999-01-01
246146,Zhongwei,1965-01-30,1987-09-04,9999-01-01
246244,George,1965-01-09,2000-01-20,9999-01-01
246364,Alper,1965-01-06,1998-10-29,9999-01-01
246764,Shuzo,1965-01-04,1997-11-29,9999-01-01
246798,Tianruo,1965-01-09,2001-12-07,9999-01-01
246902,Shih,1965-01-27,1998-04-19,9999-01-01
247089,Seongbae,1965-01-17,1992-12-10,9999-01-01
247122,Xiaobin,1965-01-23,1992-02-14,9999-01-01
247447,Tzu,1965-01-28,1994-03-18,9999-01-01
247456,Masako,1965-01-16,1997-07-31,9999-01-01
247612,Chiranjit,1965-01-04,1997-05-25,9999-01-01
247875,Xiong,1965-01-02,1991-04-23,9999-01-01
247888,Abdelghani,1965-01-15,1985-09-06,9999-01-01
248256,Sajjan,1965-01-05,1996-08-29,9999-01-01
248351,Jaana,1965-02-01,1985-06-02,9999-01-01
248758,Snehasis,1965-02-01,1994-12-25,9999-01-01
248953,Percy,1965-01-29,1996-08-29,9999-01-01
249239,Hideyuki,1965-01-21,1994-05-04,9999-01-01
249325,Ute,1965-01-26,1997-06-09,9999-01-01
249433,Ayonca,1965-01-16,1988-06-03,9999-01-01
249504,Dmitry,1965-01-07,1995-10-20,9999-01-01
249780,Nechama,1965-01-12,1993-07-09,9999-01-01
249799,Jolita,1965-01-04,1993-12-27,9999-01-01
249866,Steen,1965-01-15,1989-01-14,9999-01-01
249969,Georgi,1965-01-21,1991-06-10,9999-01-01
250411,Ranga,1965-01-27,1989-01-20,9999-01-01
250452,Alexius,1965-01-14,2000-01-17,9999-01-01
250748,Kish,1965-01-27,1987-02-10,9999-01-01
251166,Hinrich,1965-01-22,1985-10-05,9999-01-01
251233,Yucel,1965-01-07,1993-02-19,9999-01-01
251301,Pintsang,1965-01-30,1989-05-06,9999-01-01
251341,Divier,1965-01-11,1992-12-05,9999-01-01
251403,Utpal,1965-01-01,1997-11-19,9999-01-01
251437,Shichao,1965-01-20,1989-10-17,9999-01-01
251645,Bezalel,1965-01-06,1992-06-17,9999-01-01
251680,Moty,1965-01-05,1990-08-14,9999-01-01
251814,Mitsuyuki,1965-01-01,1998-09-14,9999-01-01
252185,Chaosheng,1965-01-01,1997-04-14,9999-01-01
252316,Gill,1965-01-07,1994-10-08,9999-01-01
252392,Sanjeeva,1965-01-01,1993-12-26,9999-01-01
253029,Thodoros,1965-01-13,1995-04-05,9999-01-01
253707,Insup,1965-01-05,1998-02-11,9999-01-01
253838,Stafford,1965-01-28,1999-02-21,9999-01-01
253893,Huiqun,1965-01-04,1993-05-10,9999-01-01
254044,Gunilla,1965-01-16,1992-04-10,9999-01-01
254399,Armond,1965-01-24,1999-09-16,9999-01-01
254821,Tonny,1965-01-24,1994-12-12,9999-01-01
255466,Huan,1965-01-18,1985-07-03,9999-01-01
255657,Oldrich,1965-01-20,1985-02-10,9999-01-01
255779,Heejo,1965-01-31,1997-09-04,9999-01-01
256216,Halsur,1965-01-01,1997-11-22,9999-01-01
256856,Hongzue,1965-01-03,1987-06-17,9999-01-01
256881,Ioana,1965-01-03,1990-08-10,9999-01-01
256888,Heather,1965-01-03,1993-09-15,9999-01-01
257062,Stabislas,1965-01-24,1989-06-21,9999-01-01
257378,Pascal,1965-01-06,1988-09-03,9999-01-01
257469,Anyuan,1965-01-22,1988-01-06,9999-01-01
257484,Shaowei,1965-01-01,1986-12-07,9999-01-01
258028,Mountaz,1965-01-07,2001-07-03,9999-01-01
258124,Mariusz,1965-01-17,1990-07-28,9999-01-01
258470,Weiwu,1965-01-04,1995-02-14,9999-01-01
258643,Przemyslawa,1965-01-11,1992-02-27,9999-01-01
259042,Xiaoqiang,1965-01-12,1997-01-01,9999-01-01
259237,Palash,1965-01-27,1987-10-23,9999-01-01
259273,Xiahua,1965-01-22,1989-12-01,9999-01-01
259611,Shuichi,1965-01-27,1990-08-21,9999-01-01
259619,Conal,1965-01-21,1992-05-09,9999-01-01
259718,Stepehn,1965-01-24,1993-12-13,9999-01-01
260153,Mingdong,1965-01-28,1991-10-14,9999-01-01
260249,Vugranam,1965-01-22,1998-05-14,9999-01-01
260361,Reinhold,1965-01-25,1997-10-09,9999-01-01
260399,Hatem,1965-01-30,1989-04-10,9999-01-01
260408,Sasan,1965-01-19,1996-09-03,9999-01-01
260501,Dzung,1965-01-14,1990-05-17,9999-01-01
261184,Masako,1965-01-30,1987-08-29,9999-01-01
261631,Jianhua,1965-01-08,1998-02-23,9999-01-01
261662,Berni,1965-01-11,1989-09-08,9999-01-01
261737,Mark,1965-01-23,1990-11-22,9999-01-01
261986,Gila,1965-01-21,1997-05-13,9999-01-01
261990,Volkmar,1965-01-16,1992-04-01,9999-01-01
262208,Mrinalini,1965-01-16,1987-05-23,9999-01-01
262210,Chinho,1965-01-22,1985-07-29,9999-01-01
262328,Mayuko,1965-01-03,1997-12-24,9999-01-01
262439,Lorien,1965-01-30,1985-10-10,9999-01-01
262636,Tamiya,1965-01-04,1992-04-10,9999-01-01
262752,Pramod,1965-01-04,1997-12-12,9999-01-01
262928,Piyush,1965-01-01,1995-02-20,9999-01-01
263012,Hideo,1965-01-09,1999-05-01,9999-01-01
263186,Danny,1965-01-22,1995-09-13,9999-01-01
263370,Shakhar,1965-01-03,1999-05-29,9999-01-01
263439,Atreye,1965-01-09,1986-12-15,9999-01-01
263645,Mingsen,1965-01-19,1990-12-04,9999-01-01
263649,Mechthild,1965-01-17,1993-07-26,9999-01-01
263926,Fusako,1965-01-03,1985-04-07,9999-01-01
264030,Zdislav,1965-01-15,1990-12-14,9999-01-01
264167,Baoqiu,1965-01-25,1996-05-01,9999-01-01
264322,Leandro,1965-01-03,1991-01-06,9999-01-01
264626,Noritoshi,1965-01-13,1993-02-03,9999-01-01
264939,Bogdan,1965-01-10,1999-02-13,9999-01-01
265039,Navid,1965-01-03,1992-10-18,9999-01-01
265521,Kensei,1965-01-04,1993-05-25,9999-01-01
265558,Susuma,1965-01-31,1987-08-02,9999-01-01
265794,Miquel,1965-01-15,1994-01-14,9999-01-01
265875,Fan,1965-01-20,1989-09-03,9999-01-01
266206,Zsolt,1965-02-01,1985-08-19,9999-01-01
266249,Sumant,1965-01-15,1991-03-28,9999-01-01
266310,Zvonko,1965-01-23,1987-06-24,9999-01-01
266644,Anwar,1965-01-08,1993-08-09,9999-01-01
266862,Mart,1965-01-10,1986-04-21,9999-01-01
266881,Mokhtar,1965-01-11,1997-02-04,9999-01-01
267059,Moie,1965-01-09,1991-06-29,9999-01-01
267227,Susuma,1965-01-10,1995-01-22,9999-01-01
267304,Jordanka,1965-01-06,1994-06-27,9999-01-01
267667,Irena,1965-01-05,1987-09-05,9999-01-01
268043,Narain,1965-01-28,1997-11-02,9999-01-01
268191,LiMin,1965-01-07,1990-11-01,9999-01-01
269728,Naftali,1965-01-12,1987-05-16,9999-01-01
270084,Ulises,1965-01-11,1986-07-26,9999-01-01
270716,Shunichi,1965-01-19,1998-02-04,9999-01-01
270794,Dannz,1965-02-01,1991-06-26,9999-01-01
271106,Taisook,1965-01-10,1997-11-30,9999-01-01
271219,Odoardo,1965-01-16,1994-11-07,9999-01-01
272141,Tsutomu,1965-01-13,1996-07-31,9999-01-01
272285,Gully,1965-01-19,1986-01-22,9999-01-01
272316,Surveyors,1965-01-05,1999-07-19,9999-01-01
272452,Mitsuyuki,1965-01-10,2002-02-27,9999-01-01
272599,Holgard,1965-01-16,1993-07-15,9999-01-01
272860,Minghong,1965-02-01,1994-02-10,9999-01-01
273159,Divine,1965-01-26,1989-04-14,9999-01-01
273286,Brigham,1965-01-26,1989-01-23,9999-01-01
273396,Wayne,1965-01-10,1998-03-07,9999-01-01
273806,Hongzhu,1965-01-01,1997-08-18,9999-01-01
273858,Gunilla,1965-01-13,1990-12-28,9999-01-01
274071,Mingsen,1965-01-01,1995-10-12,9999-01-01
274271,Prodip,1965-01-10,1986-09-10,9999-01-01
274369,Ranga,1965-01-29,1997-01-27,9999-01-01
274813,Yefim,1965-01-10,1993-08-07,9999-01-01
275158,Satyanarayana,1965-01-07,1999-12-08,9999-01-01
275263,Vojin,1965-01-21,1991-10-18,9999-01-01
275444,Limsoon,1965-01-16,1993-01-21,9999-01-01
275495,Shen,1965-01-13,1995-02-19,9999-01-01
275801,Ayakannu,1965-01-22,1986-06-28,9999-01-01
275881,Jiann,1965-01-08,1988-05-18,9999-01-01
275994,Uma,1965-01-29,1991-02-21,9999-01-01
276027,Holgard,1965-01-04,1986-02-28,9999-01-01
276184,Mari,1965-01-10,1991-04-08,9999-01-01
276186,Sajjad,1965-01-30,1993-06-02,9999-01-01
276189,Isaac,1965-01-10,1995-03-19,9999-01-01
276445,Atilio,1965-01-27,1988-07-02,9999-01-01
276472,Hideyuki,1965-01-27,1988-11-10,9999-01-01
276563,Gift,1965-01-01,1995-08-01,9999-01-01
276868,Alois,1965-01-19,1998-03-13,9999-01-01
277316,Vitali,1965-01-03,1989-10-04,9999-01-01
277362,Uzi,1965-01-09,1991-01-12,9999-01-01
277420,Rayond,1965-01-16,1995-04-22,9999-01-01
277777,Herbert,1965-01-27,1990-07-04,9999-01-01
277829,Michaela,1965-01-22,1986-06-02,9999-01-01
278239,Boaz,1965-01-19,1994-02-06,9999-01-01
278386,Caolyn,1965-01-15,1995-12-03,9999-01-01
278452,Sudhanshu,1965-01-07,1987-08-29,9999-01-01
278536,Munenori,1965-01-14,1992-01-10,9999-01-01
278549,Jaana,1965-01-02,1989-07-27,9999-01-01
278953,Jeanna,1965-01-26,1990-08-11,9999-01-01
279115,Maren,1965-01-05,1997-11-29,9999-01-01
279280,Niranjan,1965-01-09,1992-09-21,9999-01-01
279791,Chiranjit,1965-01-10,1986-12-24,9999-01-01
280070,Niteen,1965-01-24,1988-03-29,9999-01-01
280291,Lenore,1965-01-26,1998-11-24,9999-01-01
280420,Jahangir,1965-01-31,1986-09-28,9999-01-01
280525,Kish,1965-01-13,1996-08-18,9999-01-01
280648,Heeju,1965-01-04,1986-12-27,9999-01-01
281570,Zijian,1965-01-08,1994-09-13,9999-01-01
281692,Khosrow,1965-01-06,1990-03-03,9999-01-01
281848,Parke,1965-01-29,1993-07-31,9999-01-01
281859,Masanao,1965-01-17,1985-11-25,9999-01-01
282191,Alper,1965-01-16,1997-10-20,9999-01-01
282333,Nahla,1965-01-25,1993-09-09,9999-01-01
282343,Xinglin,1965-01-13,1988-07-20,9999-01-01
282547,Nahum,1965-01-18,1999-06-14,9999-01-01
282585,Zijian,1965-01-03,1996-07-01,9999-01-01
282894,Fay,1965-01-05,1989-05-03,9999-01-01
284300,Ishfaq,1965-01-22,1991-11-29,9999-01-01
284431,Pintsang,1965-01-25,1996-04-16,9999-01-01
284561,Duri,1965-01-03,1988-02-15,9999-01-01
284687,Oksana,1965-01-15,1985-06-22,9999-01-01
284691,Theron,1965-01-04,1988-08-17,9999-01-01
284711,Martijn,1965-01-21,1988-02-10,9999-01-01
284717,Gal,1965-01-11,1992-11-07,9999-01-01
284856,Moto,1965-01-05,1991-12-12,9999-01-01
284954,Anneke,1965-01-16,1996-01-30,9999-01-01
285164,Xiaocheng,1965-01-02,1994-10-03,9999-01-01
285396,Lena,1965-01-27,1986-10-04,9999-01-01
285905,Kellyn,1965-01-09,1994-11-04,9999-01-01
285906,Arnould,1965-01-02,1998-03-26,9999-01-01
286026,Utpal,1965-01-21,1991-02-25,9999-01-01
286029,Jaques,1965-01-28,1996-07-16,9999-01-01
286370,Toshimitsu,1965-01-06,1995-01-19,9999-01-01
286452,Behnaam,1965-01-26,1999-01-31,9999-01-01
286573,Nahum,1965-01-27,1994-07-29,9999-01-01
286779,Sigeru,1965-01-24,1998-08-31,9999-01-01
286986,Woody,1965-01-01,1996-05-23,9999-01-01
287323,Steve,1965-02-01,1999-09-15,9999-01-01
287327,Youjian,1965-01-13,1993-07-15,9999-01-01
287334,Elliott,1965-01-05,1998-08-08,9999-01-01
287482,Shigeaki,1965-01-01,1994-03-18,9999-01-01
287583,Jovan,1965-01-18,1990-06-21,9999-01-01
287609,Sailaja,1965-01-06,1988-01-20,9999-01-01
287713,Aamod,1965-01-23,1992-12-07,9999-01-01
